metric,expected,observed,difference,tolerance,pass,expected_rounded,observed_rounded
n_source,1091.0,1091.0,0,0.0,True,1091.0,1091.0
n_late,1087.0,1087.0,0,0.0,True,1087.0,1087.0
n_main,1012.0,1012.0,0,0.0,True,1012.0,1012.0
n_acs,126.0,126.0,0,0.0,True,126.0,126.0
n_no_acs,886.0,886.0,0,0.0,True,886.0,886.0
primary_oxygen_any_iptw_or,1.4043521228675713,1.4043521228675713,0,0.005,True,1.4044,1.4044
primary_oxygen_any_iptw_lcl,0.904737946713085,0.904737946713085,0,0.005,True,0.9047,0.9047
primary_oxygen_any_iptw_ucl,2.1798631218770903,2.1798631218770903,0,0.005,True,2.1799,2.1799
primary_oxygen_any_iptw_p,0.1304053381719822,0.1304053381719822,0,0.005,True,0.1304,0.1304
nicu_iptw_or,1.100796735103774,1.100796735103774,0,0.005,True,1.1008,1.1008
hypoglycemia_iptw_or,2.139367635520168,2.139367635520168,0,0.005,True,2.1394,2.1394
sepsis_iptw_or,1.3396490606601537,1.3396490606601537,0,0.005,True,1.3396,1.3396
pulmonary_morbidity_resp_any_iptw_or,0.866688075180779,0.866688075180779,0,0.005,True,0.8667,0.8667
preterm_complications_iptw_or,2.4367496875067625,2.4367496875067625,0,0.005,True,2.4367,2.4367
death_iptw_or,1.4558254524671632,1.4558254524671632,0,0.005,True,1.4558,1.4558
nicu_days_iptw_md,0.8280576376704356,0.8280576376704356,0,0.005,True,0.8281,0.8281
o2_days_total_iptw_md,0.9504623434370664,0.9504623434370664,0,0.005,True,0.9505,0.9505
invasive_mv_days_iptw_md,0.3678388311552152,0.3678388311552152,0,0.005,True,0.3678,0.3678
nasal_mv_days_iptw_md,0.205067189196381,0.205067189196381,0,0.005,True,0.2051,0.2051
include_early_iptw_or,1.3656299711593498,1.3656299711593498,0,0.02,True,1.3656,1.3656
include_early_dr_or,1.4003655778524904,1.4003655778524904,0,0.02,True,1.4004,1.4004
dose_single_n,108.0,108.0,0,0.0,True,108.0,108.0
dose_double_n,18.0,18.0,0,0.0,True,18.0,18.0
timing_0_6_n,30.0,30.0,0,0.0,True,30.0,30.0
timing_6_24_n,40.0,40.0,0,0.0,True,40.0,40.0
timing_24_48_n,23.0,23.0,0,0.0,True,23.0,23.0
timing_2_7_n,25.0,25.0,0,0.0,True,25.0,25.0
timing_gt7_n,8.0,8.0,0,0.0,True,8.0,8.0
modality_no_support_acs_n,83.0,83.0,0,0.0,True,83.0,83.0
modality_hood_acs_n,14.0,14.0,0,0.0,True,14.0,14.0
modality_cpap_acs_n,21.0,21.0,0,0.0,True,21.0,21.0
modality_pbv_acs_n,6.0,6.0,0,0.0,True,6.0,6.0
modality_intubation_acs_n,2.0,2.0,0,0.0,True,2.0,2.0
modality_no_support_noacs_n,663.0,663.0,0,0.0,True,663.0,663.0
modality_hood_noacs_n,34.0,34.0,0,0.0,True,34.0,34.0
modality_cpap_noacs_n,162.0,162.0,0,0.0,True,162.0,162.0
modality_pbv_noacs_n,22.0,22.0,0,0.0,True,22.0,22.0
modality_intubation_noacs_n,5.0,5.0,0,0.0,True,5.0,5.0
