ga_week,model,outcome,effect,estimate,lcl,ucl,p.value,n
34,iptw,oxygen_any,OR,0.624164467445964,0.2544794321615236,1.5308949690473537,0.30497129914803434,139
34,iptw,nicu_admit,OR,0.45809634047002945,0.18590813172271267,1.1287954712224952,0.09202537101658789,139
34,iptw,hypoglycemia,OR,0.784201128772712,0.12174594580043153,5.051268083920179,0.7985014320824704,139
34,iptw,sepsis_any,OR,0.5057088298160297,0.08977414665154705,2.8487201504297563,0.4408337621876336,139
34,iptw,resp_any,OR,0.35845232857045367,0.11973745980567813,1.0730816577043116,0.06883613165417879,139
34,iptw,high_intensity_initial_support,OR,0.25105824197196047,0.0967089613159078,0.651751812907575,0.0052066947859662404,139
35,iptw,oxygen_any,OR,0.6866138533973654,0.29100959734523074,1.6200104325696907,0.3913052702412727,307
35,iptw,nicu_admit,OR,0.5423234369012424,0.21768137735563112,1.3511248127205377,0.18988852714925017,307
35,iptw,hypoglycemia,OR,1.058293340599951,0.11857743848418933,9.445176157246296,0.9595707421844126,307
35,iptw,sepsis_any,OR,1.9644332425391648,0.226331949370854,17.050168900678777,0.5407203426019385,307
35,iptw,resp_any,OR,0.8647064571000548,0.316223076281571,2.3645246442569783,0.7771905759391255,307
35,iptw,high_intensity_initial_support,OR,0.8178418756178253,0.34553309623723627,1.9357489652882705,0.6476741065505177,307
36,iptw,oxygen_any,OR,2.246980371674914,1.0689511172857251,4.723247592006385,0.033116319327789044,566
36,iptw,nicu_admit,OR,1.1059742834930104,0.4232091599493086,2.8902472618843804,0.837241202812735,566
36,iptw,hypoglycemia,OR,4.281687033108164,0.37495961521796695,48.8928490040976,0.2422907921736818,566
36,iptw,sepsis_any,OR,4.31179941014962,0.8226566335775004,22.59948245055407,0.08435155358172042,566
36,iptw,resp_any,OR,0.9416232964979148,0.26951216041073106,3.2898494493026087,0.9249516638081645,566
36,iptw,high_intensity_initial_support,OR,1.6387791542187473,0.698301619922569,3.8458984480083322,0.25689335544909103,566
